poi_id,input_checkins,output_interactions,output_views,output_transactions,output_reviews,input_unique_users,output_unique_users,interaction_diff,user_diff
POI-ID-1479601c,33,33,31,2,0,31,31,0,0
POI-ID-58fb9bd5,14,14,10,4,0,10,10,0,0
POI-ID-4419d15c,1,1,1,0,0,1,1,0,0
POI-ID-70ba3ff2,1,1,1,0,0,1,1,0,0
POI-ID-45c400c2,4,4,2,1,1,1,1,0,0
POI-ID-06e316a4,3,3,2,1,0,2,2,0,0
POI-ID-c378dbe5,4,4,3,1,0,3,3,0,0
POI-ID-7eb76ed6,32,32,23,6,3,21,21,0,0
POI-ID-767a7ae4,1,1,1,0,0,1,1,0,0
POI-ID-ac3541eb,17,17,12,4,1,11,11,0,0
POI-ID-3bcfe340,1,1,1,0,0,1,1,0,0
POI-ID-4bfce5e2,1,1,1,0,0,1,1,0,0
POI-ID-67ac32f2,12,12,8,2,2,6,6,0,0
POI-ID-a5cf55c2,8,8,7,1,0,7,7,0,0
POI-ID-164017f1,5,5,3,1,1,3,3,0,0
POI-ID-0265bba3,26,26,25,1,0,25,25,0,0
POI-ID-633bcfe0,61,61,46,9,6,42,42,0,0
POI-ID-b4e586c7,58,58,45,7,6,42,42,0,0
POI-ID-7b495524,24,24,22,1,1,22,22,0,0
POI-ID-08805088,13,13,10,2,1,10,10,0,0
POI-ID-6d55a7ff,2,2,2,0,0,2,2,0,0
POI-ID-007cb72a,1,1,1,0,0,1,1,0,0
POI-ID-292a13fb,1,1,1,0,0,1,1,0,0
POI-ID-c9c7e7f6,1,1,1,0,0,1,1,0,0
POI-ID-b051b703,40,40,28,8,4,14,14,0,0
POI-ID-11067588,1,1,1,0,0,1,1,0,0
POI-ID-ee6761de,1,1,1,0,0,1,1,0,0
POI-ID-3604e5ef,21,21,17,3,1,17,17,0,0
POI-ID-6311f4be,9,9,6,2,1,6,6,0,0
POI-ID-25347d81,7,7,7,0,0,7,7,0,0
POI-ID-8b14373d,7,7,5,1,1,5,5,0,0
POI-ID-bc9ad62c,2,2,2,0,0,2,2,0,0
POI-ID-e4ccdf3a,16,16,13,3,0,13,13,0,0
POI-ID-b080d223,2,2,1,1,0,1,1,0,0
POI-ID-f8d1731c,17,17,14,2,1,14,14,0,0
POI-ID-ea2af3d9,10,10,9,1,0,9,9,0,0
POI-ID-0fe90bea,10,10,7,2,1,7,7,0,0
POI-ID-21a0f7e3,10,10,9,1,0,9,9,0,0
POI-ID-62a7fcfa,1,1,1,0,0,1,1,0,0
POI-ID-11201f65,16,16,15,1,0,15,15,0,0
POI-ID-cb5c9a26,14,14,10,3,1,10,10,0,0
POI-ID-6dde9f10,17,17,13,4,0,13,13,0,0
POI-ID-67be217a,86,85,73,8,4,73,72,-1,-1
POI-ID-548e71ee,18,18,11,4,3,5,5,0,0
POI-ID-0dbe0945,8,8,6,1,1,4,4,0,0
POI-ID-9a52bcb6,4,4,3,1,0,3,3,0,0
POI-ID-54c9f0e3,5,5,5,0,0,5,5,0,0
POI-ID-1586c013,34,34,23,8,3,17,17,0,0
POI-ID-bf70c27f,2,2,1,0,1,2,2,0,0
POI-ID-d6cf1470,17,17,14,3,0,14,14,0,0
POI-ID-a15f328a,2,2,2,0,0,2,2,0,0
POI-ID-db992560,10,10,10,0,0,10,10,0,0
POI-ID-84f6c213,5,5,5,0,0,5,5,0,0
POI-ID-af486ac4,2,2,2,0,0,2,2,0,0
POI-ID-abfc44fb,15,15,15,0,0,15,15,0,0
POI-ID-de350054,1,1,1,0,0,1,1,0,0
POI-ID-57ca148b,4,4,2,1,1,2,2,0,0
POI-ID-14a7d77c,21,21,21,0,0,21,21,0,0
POI-ID-27afc45e,2,2,2,0,0,2,2,0,0
POI-ID-116f0f8b,4,4,3,1,0,3,3,0,0
POI-ID-f388985d,16,16,15,1,0,15,15,0,0
POI-ID-65e5349e,10,10,10,0,0,10,10,0,0
POI-ID-2d92e92c,47,47,32,8,7,23,23,0,0
POI-ID-61646099,2,2,2,0,0,2,2,0,0
POI-ID-cae591d4,1,1,1,0,0,1,1,0,0
POI-ID-d318554f,3,3,2,1,0,2,2,0,0
POI-ID-8fc37011,2,2,2,0,0,2,2,0,0
POI-ID-33667ca3,3,3,3,0,0,3,3,0,0
POI-ID-5239388a,1,1,1,0,0,1,1,0,0
POI-ID-86d5ec22,26,26,26,0,0,26,26,0,0
POI-ID-ab497caf,1,1,1,0,0,1,1,0,0
POI-ID-456f8f01,14,14,12,1,1,11,11,0,0
POI-ID-eefbd523,8,8,6,2,0,6,6,0,0
POI-ID-d9f14031,4,4,4,0,0,4,4,0,0
POI-ID-d138ad08,11,11,9,2,0,9,9,0,0
POI-ID-9963e2fd,2,2,2,0,0,2,2,0,0
POI-ID-b33a959d,1,1,1,0,0,1,1,0,0
POI-ID-c379808a,1,1,1,0,0,1,1,0,0
POI-ID-d145e162,1,1,1,0,0,1,1,0,0
POI-ID-c065a87c,1,1,1,0,0,1,1,0,0
POI-ID-d96a2bf0,5,5,5,0,0,5,5,0,0
POI-ID-ad88e490,1,1,1,0,0,1,1,0,0
POI-ID-749bc5d0,1,1,1,0,0,1,1,0,0
POI-ID-2c0a0e47,1,1,1,0,0,1,1,0,0
POI-ID-93992ee8,12,12,12,0,0,12,12,0,0
POI-ID-8017bebd,35,35,28,4,3,24,24,0,0
POI-ID-0f77f429,7,7,7,0,0,7,7,0,0
POI-ID-2b530cf2,10,10,10,0,0,10,10,0,0
POI-ID-71c0c2c9,6,6,5,1,0,5,5,0,0
POI-ID-ef84e3e3,1,1,1,0,0,1,1,0,0
POI-ID-ed49015f,4,4,2,2,0,2,2,0,0
POI-ID-11d8431e,1,1,1,0,0,1,1,0,0
POI-ID-aa43985d,8,8,7,1,0,8,8,0,0
POI-ID-6e689ad9,15,15,13,2,0,13,13,0,0
POI-ID-557d1c58,3,3,2,1,0,2,2,0,0
POI-ID-d3d901a5,9,9,7,1,1,6,6,0,0
POI-ID-d03e5868,26,26,19,5,2,18,18,0,0
POI-ID-6eb80532,75,75,48,20,7,11,11,0,0
POI-ID-c0391b71,22,22,21,1,0,21,21,0,0
POI-ID-be0ae281,9,9,6,2,1,3,3,0,0
POI-ID-be07d23e,13,13,13,0,0,13,13,0,0
POI-ID-572794fc,14,14,12,1,1,10,10,0,0
POI-ID-13dd3115,82,82,70,10,2,69,69,0,0
POI-ID-b497c7b3,13,13,11,2,0,11,11,0,0
POI-ID-3f1198bf,8,8,5,2,1,2,2,0,0
POI-ID-057b1078,80,80,76,2,2,77,77,0,0
POI-ID-99a3be4b,30,30,24,6,0,24,24,0,0
POI-ID-cc3c23f3,1,1,1,0,0,1,1,0,0
POI-ID-0bce6046,30,30,25,4,1,23,23,0,0
POI-ID-f828242c,3,3,2,1,0,2,2,0,0
POI-ID-4ab0cf95,1,1,1,0,0,1,1,0,0
POI-ID-f65e6300,32,32,28,4,0,28,28,0,0
POI-ID-f28a8057,4,4,3,1,0,3,3,0,0
POI-ID-18b9d071,1,1,1,0,0,1,1,0,0
POI-ID-9c9ee729,24,24,18,4,2,13,13,0,0
POI-ID-a2436692,4,4,4,0,0,4,4,0,0
POI-ID-764600f6,12,12,11,1,0,11,11,0,0
POI-ID-f0403b7a,43,43,37,5,1,34,34,0,0
POI-ID-1354ed5e,3,3,3,0,0,3,3,0,0
POI-ID-c92c577e,15,15,13,1,1,13,13,0,0
POI-ID-a9ab036e,3,3,3,0,0,3,3,0,0
POI-ID-2eebe813,20,20,19,0,1,20,20,0,0
POI-ID-1b6d3363,31,31,24,4,3,22,22,0,0
POI-ID-684a9366,10,10,6,3,1,3,3,0,0
POI-ID-77a4d2f5,11,11,10,1,0,10,10,0,0
POI-ID-b4649850,59,59,39,13,7,15,15,0,0
POI-ID-e024431e,6,6,5,1,0,5,5,0,0
POI-ID-a3c2fcd3,13,13,13,0,0,13,13,0,0
POI-ID-489f655a,27,27,15,7,5,2,2,0,0
POI-ID-df686467,29,29,27,2,0,28,28,0,0
POI-ID-eef573d3,5,5,3,2,0,3,3,0,0
POI-ID-ba74d857,5,5,4,1,0,4,4,0,0
POI-ID-9ff5bf86,56,56,39,12,5,34,34,0,0
POI-ID-acdd139d,16,16,12,2,2,12,12,0,0
POI-ID-48df0a82,1,1,1,0,0,1,1,0,0
POI-ID-90389de7,3,3,1,1,1,1,1,0,0
POI-ID-f7a5b053,7,7,5,1,1,4,4,0,0
POI-ID-a6beda8a,3,3,3,0,0,3,3,0,0
POI-ID-8f9d21e1,13,13,7,3,3,6,6,0,0
POI-ID-6017e74a,1,1,1,0,0,1,1,0,0
POI-ID-09362f78,2,2,2,0,0,2,2,0,0
POI-ID-b4b7657d,1,1,1,0,0,1,1,0,0
POI-ID-7257e830,15,15,10,4,1,10,10,0,0
POI-ID-12ec4499,90,90,69,13,8,63,63,0,0
POI-ID-da5f36cd,5,5,3,1,1,1,1,0,0
POI-ID-1731008e,18,18,17,1,0,17,17,0,0
POI-ID-826bad0f,28,28,21,5,2,21,21,0,0
POI-ID-ffbf29df,1,1,1,0,0,1,1,0,0
POI-ID-5908a58c,10,10,10,0,0,10,10,0,0
POI-ID-25ef174e,9,9,7,2,0,7,7,0,0
POI-ID-46328a15,40,40,30,6,4,27,27,0,0
POI-ID-0be597fc,5,5,5,0,0,5,5,0,0
POI-ID-6acb0819,4,4,2,1,1,2,2,0,0
POI-ID-49c82d04,12,12,10,1,1,9,9,0,0
POI-ID-7cd5cdb2,13,13,9,2,2,7,7,0,0
POI-ID-c063a0cf,40,40,30,6,4,24,24,0,0
POI-ID-f3336f55,11,11,11,0,0,11,11,0,0
POI-ID-47147b80,20,20,17,1,2,15,15,0,0
POI-ID-71e2b2c0,31,31,24,4,3,22,22,0,0
POI-ID-868fe77e,7,7,5,1,1,5,5,0,0
POI-ID-28354815,18,18,16,2,0,16,16,0,0
POI-ID-21302534,14,14,13,1,0,13,13,0,0
POI-ID-d715adc4,3,3,2,1,0,2,2,0,0
POI-ID-561cd625,50,50,37,7,6,27,27,0,0
POI-ID-87f8dd46,4,4,3,1,0,3,3,0,0
POI-ID-d9b65f85,14,14,12,1,1,11,11,0,0
POI-ID-93b08439,9,9,7,2,0,7,7,0,0
POI-ID-a20961e8,38,38,31,5,2,31,31,0,0
POI-ID-708a0af3,9,9,6,2,1,6,6,0,0
POI-ID-bbe92b6b,15,15,15,0,0,15,15,0,0
POI-ID-3efc4e87,2,2,2,0,0,2,2,0,0
POI-ID-301cbd77,1,1,1,0,0,1,1,0,0
POI-ID-e53d96c0,23,23,21,2,0,21,21,0,0
POI-ID-c913468a,4,4,4,0,0,4,4,0,0
POI-ID-8be933a9,3,3,2,1,0,2,2,0,0
POI-ID-f5c4c398,37,37,34,3,0,34,34,0,0
POI-ID-84234294,1,1,1,0,0,1,1,0,0
POI-ID-57590349,13,13,13,0,0,13,13,0,0
POI-ID-82782389,154,154,120,25,9,88,88,0,0
POI-ID-47f97ae0,2,2,2,0,0,2,2,0,0
POI-ID-703c9d58,21,21,19,2,0,19,19,0,0
POI-ID-6fb7c3e9,15,15,13,2,0,14,14,0,0
POI-ID-b586da98,22,22,19,2,1,17,17,0,0
POI-ID-3065d508,44,44,24,11,9,12,12,0,0
POI-ID-5b001938,3,3,1,1,1,1,1,0,0
POI-ID-b180f0b3,54,54,48,5,1,49,49,0,0
POI-ID-84678ea9,13,13,12,1,0,12,12,0,0
POI-ID-2ede39a5,5,5,3,1,1,2,2,0,0
POI-ID-310d614e,60,60,38,15,7,9,9,0,0
POI-ID-556ad52f,1,1,1,0,0,1,1,0,0
POI-ID-56092da4,12,12,11,1,0,11,11,0,0
POI-ID-fc9a2411,115,115,88,20,7,83,83,0,0
POI-ID-9a082e25,163,163,132,23,8,130,130,0,0
POI-ID-8a33e7f8,21,21,19,2,0,19,19,0,0
POI-ID-5f0905b5,4,4,4,0,0,4,4,0,0
POI-ID-997ecebb,1,1,1,0,0,1,1,0,0
POI-ID-bd74f0c2,1,1,1,0,0,1,1,0,0
POI-ID-78e9f149,1,1,1,0,0,1,1,0,0
POI-ID-ccbf3c2c,3,3,3,0,0,3,3,0,0
POI-ID-9c2fc5ae,14,14,13,1,0,13,13,0,0
POI-ID-b25da584,4,4,4,0,0,4,4,0,0
POI-ID-f9067b2b,60,60,53,6,1,53,53,0,0
POI-ID-084a0761,2,2,2,0,0,2,2,0,0
POI-ID-ad02f955,6,6,6,0,0,6,6,0,0
POI-ID-67ff764e,74,74,65,7,2,66,66,0,0
POI-ID-63cc17f3,11,11,8,2,1,7,7,0,0
POI-ID-308bb33c,11,11,8,3,0,9,9,0,0
POI-ID-500081a5,19,19,16,3,0,16,16,0,0
POI-ID-bd0af4fe,2,2,2,0,0,2,2,0,0
POI-ID-09772ba8,6,6,6,0,0,6,6,0,0
POI-ID-f4dca5e2,14,14,11,2,1,11,11,0,0
POI-ID-a490c9d7,19,19,15,2,2,16,16,0,0
POI-ID-1b16302f,11,11,11,0,0,11,11,0,0
POI-ID-04d9fa84,13,13,9,3,1,9,9,0,0
POI-ID-8b5e7dfb,36,36,27,6,3,20,20,0,0
POI-ID-9042793c,39,39,30,6,3,21,21,0,0
POI-ID-35f43d41,2,2,2,0,0,2,2,0,0
POI-ID-504c1b0d,6,6,6,0,0,6,6,0,0
POI-ID-11d5e83a,1,1,1,0,0,1,1,0,0
POI-ID-eba01564,120,120,92,20,8,91,91,0,0
POI-ID-919f82ec,7,7,7,0,0,7,7,0,0
POI-ID-8e04ea50,22,22,14,5,3,4,4,0,0
POI-ID-87d7aaf9,1,1,1,0,0,1,1,0,0
POI-ID-704cf928,15,15,12,3,0,12,12,0,0
POI-ID-9b70b8b8,26,26,21,5,0,21,21,0,0
POI-ID-2cd4ebc6,7,7,7,0,0,7,7,0,0
POI-ID-09138cc7,1,1,1,0,0,1,1,0,0
POI-ID-2e5d5d2e,42,42,28,8,6,17,17,0,0
POI-ID-9952dbdb,8,8,6,1,1,6,6,0,0
POI-ID-2083d756,15,15,9,4,2,8,8,0,0
POI-ID-1443bac4,18,18,12,4,2,9,9,0,0
POI-ID-17b6a1e0,3,3,2,1,0,2,2,0,0
POI-ID-acfb2d6e,133,131,78,32,21,37,35,-2,-2
POI-ID-14b5c104,3,3,2,1,0,2,2,0,0
POI-ID-cbc31747,2,2,2,0,0,2,2,0,0
POI-ID-5614cb80,1,1,1,0,0,1,1,0,0
POI-ID-d53bfc99,42,42,31,5,6,28,28,0,0
POI-ID-780ca63f,44,44,33,7,4,28,28,0,0
POI-ID-edd7fc4a,33,33,27,4,2,25,25,0,0
POI-ID-762ec271,22,22,20,2,0,20,20,0,0
POI-ID-b9a3ec62,16,16,14,2,0,14,14,0,0
POI-ID-14ca9e52,2,2,2,0,0,2,2,0,0
POI-ID-7c3ac7d4,188,188,110,48,30,62,62,0,0
POI-ID-eb893f21,53,53,44,8,1,43,43,0,0
POI-ID-7b2e628f,1,1,1,0,0,1,1,0,0
POI-ID-2314d657,11,11,6,3,2,1,1,0,0
POI-ID-a4b4eb91,4,4,4,0,0,4,4,0,0
POI-ID-7cc008ac,6,6,5,1,0,5,5,0,0
POI-ID-0f0e9021,1,1,1,0,0,1,1,0,0
POI-ID-4aa601cb,1,1,1,0,0,1,1,0,0
POI-ID-e683c182,6,6,4,1,1,2,2,0,0
POI-ID-31306697,9,9,8,1,0,8,8,0,0
POI-ID-96042e13,7,7,5,1,1,3,3,0,0
POI-ID-ea10a0cb,1,1,1,0,0,1,1,0,0
POI-ID-11a80da9,2,2,1,1,0,1,1,0,0
POI-ID-fddf44c4,15,15,9,4,2,8,8,0,0
POI-ID-1f9232d1,9,9,5,2,2,1,1,0,0
POI-ID-edc8b2d5,1,1,1,0,0,1,1,0,0
POI-ID-8f1325f7,1,1,1,0,0,1,1,0,0
POI-ID-e08cdeeb,1,1,1,0,0,1,1,0,0
POI-ID-21bd00bd,9,9,5,2,2,1,1,0,0
POI-ID-d8b42dbf,1,1,1,0,0,1,1,0,0
POI-ID-66c5b3d3,1,1,1,0,0,1,1,0,0
POI-ID-449bbb9e,4,4,3,1,0,3,3,0,0
POI-ID-1e27bcfb,5,5,5,0,0,5,5,0,0
POI-ID-59d49529,1,1,1,0,0,1,1,0,0
POI-ID-187abb8f,2,2,1,1,0,1,1,0,0
POI-ID-695e0b42,6,6,6,0,0,6,6,0,0
POI-ID-df48b9b4,8,8,8,0,0,8,8,0,0
POI-ID-cdc3c89d,4,4,4,0,0,4,4,0,0
POI-ID-30d218c0,2,2,2,0,0,2,2,0,0
POI-ID-c3f82b82,1,1,1,0,0,1,1,0,0
POI-ID-6946a042,76,76,44,20,12,26,26,0,0
POI-ID-3a231165,1,1,1,0,0,1,1,0,0
POI-ID-2be696a3,1,1,1,0,0,1,1,0,0
POI-ID-141ed068,13,13,12,1,0,12,12,0,0
POI-ID-0f61bb2f,2,2,2,0,0,2,2,0,0
POI-ID-ea5fe677,4,4,3,1,0,3,3,0,0
POI-ID-ddd43476,6,6,6,0,0,6,6,0,0
POI-ID-62c927b5,41,41,38,3,0,38,38,0,0
POI-ID-7bd79888,10,10,8,1,1,7,7,0,0
POI-ID-9fba93e4,1,1,1,0,0,1,1,0,0
POI-ID-1720466c,1,1,1,0,0,1,1,0,0
POI-ID-c2ec34b5,5,5,5,0,0,5,5,0,0
POI-ID-5663ed91,1,1,1,0,0,1,1,0,0
POI-ID-07fd93a1,3,3,2,0,1,3,3,0,0
POI-ID-faf75770,4,4,3,1,0,3,3,0,0
POI-ID-ad5602db,1,1,1,0,0,1,1,0,0
POI-ID-68227b89,2,2,2,0,0,2,2,0,0
POI-ID-5b462f52,2,2,2,0,0,2,2,0,0
POI-ID-869187f7,2,2,2,0,0,2,2,0,0
POI-ID-3f5091dd,4,4,2,1,1,2,2,0,0
POI-ID-48667012,1,1,1,0,0,1,1,0,0
POI-ID-9bb0d615,14,14,11,2,1,12,12,0,0
POI-ID-2837d5dd,19,19,15,2,2,15,15,0,0
POI-ID-7d3f2dd3,9,9,7,2,0,7,7,0,0
POI-ID-9ab2c20a,1,1,1,0,0,1,1,0,0
POI-ID-a6e622ff,2,2,1,1,0,1,1,0,0
POI-ID-cc97f12e,8,8,8,0,0,8,8,0,0
POI-ID-0e1f35be,11,11,11,0,0,11,11,0,0
POI-ID-552c0a14,3,3,3,0,0,3,3,0,0
POI-ID-a019b6e0,25,25,24,0,1,24,24,0,0
POI-ID-07ea9799,3,3,3,0,0,3,3,0,0
POI-ID-f6f907b1,2,2,2,0,0,2,2,0,0
POI-ID-f548e1a1,1,1,1,0,0,1,1,0,0
POI-ID-34f2cae1,3,3,2,1,0,2,2,0,0
POI-ID-2d8e0ddf,1,1,1,0,0,1,1,0,0
POI-ID-ed16e417,6,6,6,0,0,6,6,0,0
POI-ID-fa0fb76f,5,5,5,0,0,5,5,0,0
POI-ID-c97a3994,2,2,2,0,0,2,2,0,0
POI-ID-0b1c76fc,2,2,2,0,0,2,2,0,0
POI-ID-b893f711,5,5,5,0,0,5,5,0,0
POI-ID-ab5ee203,6,6,5,1,0,5,5,0,0
POI-ID-1abd8190,48,48,29,12,7,6,6,0,0
POI-ID-49b5a3fa,25,25,21,4,0,21,21,0,0
POI-ID-38cdfc91,27,27,24,3,0,25,25,0,0
POI-ID-e9b4a91b,5,5,5,0,0,5,5,0,0
POI-ID-0c673756,10,10,10,0,0,10,10,0,0
POI-ID-281edd32,19,19,16,3,0,16,16,0,0
POI-ID-ecafdaa1,5,5,5,0,0,5,5,0,0
POI-ID-6e8d64e4,29,29,23,2,4,22,22,0,0
POI-ID-4cac3da9,2,2,2,0,0,2,2,0,0
POI-ID-14f9417a,1,1,1,0,0,1,1,0,0
POI-ID-e278635d,1,1,1,0,0,1,1,0,0
POI-ID-d70ad36e,29,29,21,5,3,17,17,0,0
POI-ID-61dab46b,5,5,4,1,0,5,5,0,0
POI-ID-0bc3292c,4,4,3,1,0,3,3,0,0
POI-ID-53c689c6,8,8,6,1,1,4,4,0,0
POI-ID-6c8bbedd,5,5,5,0,0,5,5,0,0
POI-ID-74fdd9cd,4,4,4,0,0,4,4,0,0
POI-ID-926eae9e,13,13,11,2,0,11,11,0,0
POI-ID-3f76a7a4,2,2,2,0,0,2,2,0,0
POI-ID-c56ee571,3,3,3,0,0,3,3,0,0
POI-ID-9c897e6c,9,9,9,0,0,9,9,0,0
POI-ID-5cef8ac6,8,8,8,0,0,8,8,0,0
POI-ID-58718451,13,13,11,1,1,10,10,0,0
POI-ID-d889f626,12,12,11,1,0,11,11,0,0
POI-ID-df0cb7b9,24,24,13,6,5,3,3,0,0
POI-ID-866c043b,4,4,3,1,0,3,3,0,0
POI-ID-2ea7e9b8,7,7,6,1,0,6,6,0,0
POI-ID-a9b55ae1,3,3,3,0,0,3,3,0,0
POI-ID-911b6a6a,7,7,7,0,0,7,7,0,0
POI-ID-6e3679e4,160,160,118,26,16,112,112,0,0
POI-ID-dfc30be1,1,1,1,0,0,1,1,0,0
POI-ID-5ea7154b,3,3,3,0,0,3,3,0,0
POI-ID-b39bbca7,2,2,2,0,0,2,2,0,0
POI-ID-7140336b,3,3,2,1,0,2,2,0,0
POI-ID-4d39159f,5,5,4,1,0,4,4,0,0
POI-ID-07ec02f5,6,6,6,0,0,6,6,0,0
POI-ID-ddfebeba,81,81,79,1,1,80,80,0,0
POI-ID-a4663d63,12,12,10,1,1,11,11,0,0
POI-ID-dfa528d9,3,3,2,1,0,2,2,0,0
POI-ID-c7de76c3,3,3,2,1,0,2,2,0,0
POI-ID-09f72ceb,1,1,1,0,0,1,1,0,0
POI-ID-d70f0f6c,16,16,10,4,2,2,2,0,0
POI-ID-ffcdde6b,6,6,5,1,0,5,5,0,0
POI-ID-c3617ecb,1,1,1,0,0,1,1,0,0
POI-ID-76b18771,4,4,2,1,1,2,2,0,0
POI-ID-c8255ed0,3,3,1,1,1,1,1,0,0
POI-ID-87e0f937,17,17,10,5,2,1,1,0,0
POI-ID-47ffd4a9,1,1,1,0,0,1,1,0,0
POI-ID-112631f0,1,1,1,0,0,1,1,0,0
POI-ID-47c5982f,3,3,1,1,1,1,1,0,0
POI-ID-3b6b99d1,2,2,1,1,0,1,1,0,0
POI-ID-7eaae118,3,3,3,0,0,3,3,0,0
POI-ID-64c6d3a9,1,1,1,0,0,1,1,0,0
POI-ID-89ebfbfe,1,1,1,0,0,1,1,0,0
POI-ID-0ecb95b1,1,1,1,0,0,1,1,0,0
POI-ID-70e1bc41,1,1,1,0,0,1,1,0,0
POI-ID-dc8c3dfd,72,72,59,9,4,57,57,0,0
POI-ID-7b3c0baa,3,3,3,0,0,3,3,0,0
POI-ID-d8e46bc4,1,1,1,0,0,1,1,0,0
POI-ID-af8f85dd,1,1,1,0,0,1,1,0,0
POI-ID-465bb87d,1,1,1,0,0,1,1,0,0
POI-ID-54d53460,4,4,4,0,0,4,4,0,0
POI-ID-8708dc6f,3,3,3,0,0,3,3,0,0
POI-ID-33f24a69,3,3,3,0,0,3,3,0,0
POI-ID-c849a811,16,16,16,0,0,16,16,0,0
POI-ID-c7380a5e,8,8,5,2,1,5,5,0,0
POI-ID-053771cd,29,29,20,7,2,19,19,0,0
POI-ID-c0764cf3,8,8,7,1,0,7,7,0,0
POI-ID-b85f0df5,4,4,4,0,0,4,4,0,0
POI-ID-0b15ea24,29,29,20,7,2,21,21,0,0
POI-ID-d495343e,16,16,13,3,0,13,13,0,0
POI-ID-57820b64,12,12,8,3,1,8,8,0,0
POI-ID-b5f6f1ce,7,7,7,0,0,7,7,0,0
POI-ID-32ec87b6,9,9,9,0,0,9,9,0,0
POI-ID-d75b8444,4,4,3,1,0,3,3,0,0
POI-ID-4eb17f5a,2,2,2,0,0,2,2,0,0
POI-ID-a49b060f,12,12,10,1,1,10,10,0,0
POI-ID-ab0aed26,9,9,6,2,1,5,5,0,0
POI-ID-42525926,10,10,10,0,0,10,10,0,0
POI-ID-e947e53a,6,6,3,2,1,3,3,0,0
POI-ID-255b1fd9,10,10,9,1,0,9,9,0,0
POI-ID-cbf874cf,4,4,4,0,0,4,4,0,0
POI-ID-06d4f69f,14,14,13,1,0,13,13,0,0
POI-ID-9a087a29,1,1,1,0,0,1,1,0,0
POI-ID-dd0e1199,13,13,12,1,0,13,13,0,0
POI-ID-df261876,10,10,9,1,0,9,9,0,0
POI-ID-3c3227c8,3,3,3,0,0,3,3,0,0
POI-ID-098385ba,21,21,19,2,0,19,19,0,0
POI-ID-80173bce,12,12,12,0,0,12,12,0,0
POI-ID-37567e19,30,30,20,6,4,12,12,0,0
POI-ID-84ad76a8,5,5,5,0,0,5,5,0,0
POI-ID-809aea33,16,16,15,1,0,15,15,0,0
POI-ID-8a3b724b,3,3,2,0,1,2,2,0,0
POI-ID-ac3ec08c,7,7,6,1,0,6,6,0,0
POI-ID-f86e5748,16,16,16,0,0,16,16,0,0
POI-ID-81883175,6,6,6,0,0,6,6,0,0
POI-ID-6920f412,2,2,2,0,0,2,2,0,0
POI-ID-954920fb,2,2,1,1,0,1,1,0,0
POI-ID-7d6fbfda,23,23,19,3,1,17,17,0,0
POI-ID-197c65d8,2,2,2,0,0,2,2,0,0
POI-ID-e8a20abb,6,6,4,1,1,4,4,0,0
POI-ID-8a39d3ce,3,3,3,0,0,3,3,0,0
POI-ID-74510f89,8,8,8,0,0,8,8,0,0
POI-ID-b8b82540,8,8,6,1,1,4,4,0,0
POI-ID-e199382a,4,4,4,0,0,4,4,0,0
POI-ID-a78baac3,4,4,3,1,0,3,3,0,0
POI-ID-8237074d,7,7,6,1,0,7,7,0,0
POI-ID-25bcbaa9,1,1,1,0,0,1,1,0,0
POI-ID-0a26aca5,3,3,3,0,0,3,3,0,0
POI-ID-2bac0955,2,2,2,0,0,2,2,0,0
POI-ID-7381997d,21,21,19,2,0,19,19,0,0
POI-ID-6dcb954b,20,20,17,3,0,17,17,0,0
POI-ID-2a083bab,14,14,13,1,0,13,13,0,0
POI-ID-e903178a,1,1,1,0,0,1,1,0,0
POI-ID-2fcc9434,3,3,3,0,0,3,3,0,0
POI-ID-9b7f2f4c,1,1,1,0,0,1,1,0,0
POI-ID-d1937dc2,6,6,4,1,1,4,4,0,0
POI-ID-f9a19372,1,1,1,0,0,1,1,0,0
POI-ID-2695f6b7,2,2,2,0,0,2,2,0,0
POI-ID-0fee779a,3,3,3,0,0,3,3,0,0
POI-ID-1c979ae4,4,4,3,1,0,3,3,0,0
POI-ID-b6693a35,36,36,20,9,7,11,11,0,0
POI-ID-66cb9a46,36,36,33,3,0,33,33,0,0
POI-ID-047957a1,47,47,33,9,5,21,21,0,0
POI-ID-9e694ab7,2,2,2,0,0,2,2,0,0
POI-ID-c131668d,6,6,6,0,0,6,6,0,0
POI-ID-6fc5a6ff,1,1,1,0,0,1,1,0,0
POI-ID-7d142719,5,5,5,0,0,5,5,0,0
POI-ID-913b3cf9,50,50,43,7,0,43,43,0,0
POI-ID-fc4f69d0,33,33,27,6,0,28,28,0,0
POI-ID-462139a7,4,4,4,0,0,4,4,0,0
POI-ID-3f1035fc,2,2,1,1,0,1,1,0,0
POI-ID-34cfdc8b,28,28,16,8,4,3,3,0,0
POI-ID-c7047a74,23,23,14,6,3,2,2,0,0
POI-ID-79adcf8e,24,24,18,4,2,17,17,0,0
POI-ID-d1aee841,16,16,9,5,2,9,9,0,0
POI-ID-deaf62cc,17,17,13,3,1,13,13,0,0
POI-ID-eb4c3abe,20,20,12,6,2,1,1,0,0
POI-ID-edfc5ab3,14,14,11,2,1,11,11,0,0
POI-ID-ead0442f,3,3,2,1,0,2,2,0,0
POI-ID-06855806,11,11,8,2,1,6,6,0,0
POI-ID-17aae670,11,11,10,1,0,10,10,0,0
POI-ID-dfabb14f,45,45,37,5,3,38,38,0,0
POI-ID-78f481f5,11,11,9,2,0,9,9,0,0
